TB_MASTER_COMMON
```
master_code, master_name
A01,	나눔상태
B01,	같이 장보기 상태
C01,	지역
D01,	편의점 종류
F01,	제품 분류
```

TB_COMMON
```
A0101,	A01,	나눔중
A0102,	A01,	나눔완료
B0101,	B01,	모집중
B0102,	B01,	모집완료
D0101,	D01,	GS25
D0102,	D01,	세븐일레븐
D0103,	D01,	CU
D0104,	D01,	이마트24
F0101,	F01,	식사류
F0102,	F01,	간식류
F0103	,        F01,	음료(주)류
```

TB_REGION
```
CITY_CODE, REGION_CODE,	MASTER_CODE,	REGION_NAME,	CITY_NAME
C010101,	C0101	C01	경기도	고양시
C010102,	C0101	C01	경기도	과천시
C010103,	C0101	C01	경기도	광명시
C010104,	C0101	C01	경기도	광주시
C010105,	C0101	C01	경기도	구리시
C010106,	C0101	C01	경기도	군포시
C010107,	C0101	C01	경기도	김포시
C010108,	C0101	C01	경기도	남양주시
C010109	C0101	C01	경기도	동두천시
C010110	C0101	C01	경기도	부천시
C010111	C0101	C01	경기도	성남시
C010112	C0101	C01	경기도	수원시
C010113	C0101	C01	경기도	시흥시
C010114	C0101	C01	경기도	안산시
C010115	C0101	C01	경기도	안성시
C010116	C0101	C01	경기도	안양시
C010117	C0101	C01	경기도	여주시
C010118	C0101	C01	경기도	오산시
C010119	C0101	C01	경기도	용인시
C010120	C0101	C01	경기도	의왕시
C010121	C0101	C01	경기도	의정부시
C010122	C0101	C01	경기도	이천시
C010123	C0101	C01	경기도	파주시
C010124	C0101	C01	경기도	평택시
C010125	C0101	C01	경기도	포천시
C010126	C0101	C01	경기도	하남시
C010127	C0101	C01	경기도	화성시
C010128	C0101	C01	경기도	가평군
C010129	C0101	C01	경기도	양평군
C010130	C0101	C01	경기도	연천군
C010201	C0102	C01	강원도	춘천시
C010202	C0102	C01	강원도	원주시
C010203	C0102	C01	강원도	강릉시
C010204	C0102	C01	강원도	동해시
C010205	C0102	C01	강원도	태백시
C010206	C0102	C01	강원도	속초시
C010207	C0102	C01	강원도	삼척시
C010208	C0102	C01	강원도	홍천군
C010209	C0102	C01	강원도	횡성군
C010210	C0102	C01	강원도	영월군
C010211	C0102	C01	강원도	평창군
C010212	C0102	C01	강원도	정선군
C010213	C0102	C01	강원도	철원군
C010214	C0102	C01	강원도	화천군
C010215	C0102	C01	강원도	양구군
C010216	C0102	C01	강원도	인제군
C010217	C0102	C01	강원도	고성군
C010218	C0102	C01	강원도	양양군
C010301	C0103	C01	충청북도	청주시
C010302	C0103	C01	충청북도	충주시
C010303	C0103	C01	충청북도	제천시
C010304	C0103	C01	충청북도	보은군
C010305	C0103	C01	충청북도	옥천군
C010306	C0103	C01	충청북도	영동군
C010307	C0103	C01	충청북도	증평군
C010308	C0103	C01	충청북도	진천군
C010309	C0103	C01	충청북도	괴산군
C010310	C0103	C01	충청북도	음성군
C010311	C0103	C01	충청북도	단양군
C010401	C0104	C01	충청남도	천안시
C010402	C0104	C01	충청남도	공주시
C010403	C0104	C01	충청남도	보령시
C010404	C0104	C01	충청남도	아산시
C010405	C0104	C01	충청남도	서산시
C010406	C0104	C01	충청남도	논산시
C010407	C0104	C01	충청남도	계룡시
C010408	C0104	C01	충청남도	당진시
C010409	C0104	C01	충청남도	금산군
C010410	C0104	C01	충청남도	부여군
C010411	C0104	C01	충청남도	서천군
C010412	C0104	C01	충청남도	청양군
C010413	C0104	C01	충청남도	예산군
C010414	C0104	C01	충청남도	태안군
C010501	C0105	C01	전라북도	전주시
C010502	C0105	C01	전라북도	익산시
C010503	C0105	C01	전라북도	군산시
C010504	C0105	C01	전라북도	정읍시
C010505	C0105	C01	전라북도	남원시
C010506	C0105	C01	전라북도	김제시
C010507	C0105	C01	전라북도	완주군
C010508	C0105	C01	전라북도	진안군
C010509	C0105	C01	전라북도	무주군
C010510	C0105	C01	전라북도	장수군
C010511	C0105	C01	전라북도	임실군
C010512	C0105	C01	전라북도	순창군
C010513	C0105	C01	전라북도	고창군
C010514	C0105	C01	전라북도	부안군
C010601	C0106	C01	전라남도	목포시
C010602	C0106	C01	전라남도	여수시
C010603	C0106	C01	전라남도	순천시
C010604	C0106	C01	전라남도	나주시
C010605	C0106	C01	전라남도	광양시
C010606	C0106	C01	전라남도	담양군
C010607	C0106	C01	전라남도	곡성군
C010608	C0106	C01	전라남도	구례군
C010609	C0106	C01	전라남도	고흥군
C010610	C0106	C01	전라남도	보성군
C010611	C0106	C01	전라남도	화순군
C010612	C0106	C01	전라남도	장흥군
C010613	C0106	C01	전라남도	강진군
C010614	C0106	C01	전라남도	해남군
C010615	C0106	C01	전라남도	영암군
C010616	C0106	C01	전라남도	무안군
C010617	C0106	C01	전라남도	함평군
C010618	C0106	C01	전라남도	영광군
C010619	C0106	C01	전라남도	장성군
